City,Country,IATA,ICAO,Airport
Mumbai,India,BOM,VABB,Chhatrapati Shivaji International Airport
Munich,Germany,MUC,EDDM,Munich Airport
Nagasaki,Japan,NGS,RJFU,Nagasaki Airport
Naha,Japan,OKA,ROAH,Naha Airport
Nanchang,People's Republic of China,KHN,ZSCN,Nanchang Changbei International Airport
Nanjing,People's Republic of China,NKG,ZSNJ,Lukou International Airport
Nanning,People's Republic of China,NNG,ZGNN,Nanning Wuxu International Airport
Nantong,People's Republic of China,NTG,ZSNT,Nantong Airport
New York City,United States,JFK,KJFK,John F. Kennedy International Airport
Ningbo,People's Republic of China,NGB,ZSNB,Ningbo Lishe International Airport
Nyingchi,People's Republic of China,LZY,ZUNZ,Nyingchi Mainling Airport
Omsk,Russia,OMS,UNOO,Omsk Tsentralny Airport
Ordos,People's Republic of China,DSN,ZBDS,Ordos Ejin Horo Airport
Osaka,Japan,KIX,RJBB,Kansai International Airport
Panzhihua,People's Republic of China,PZI,ZUZH,Panzhihua Bao'anying Airport
Paris,France,CDG,LFPG,Charles de Gaulle Airport
Phuket,Thailand,HKT,VTSP,Phuket International Airport
Pyongyang,North Korea,FNJ,ZKPY,Pyongyang Sunan International Airport
Qamdo,People's Republic of China,BPX,ZUBD,Qamdo Bamda Airport
Qingdao,People's Republic of China,TAO,ZSQD,Qingdao Liuting International Airport
Qiqihar,People's Republic of China,NDG,ZYQQ,Qiqihar Airport
Rome,Italy,FCO,LIRF,Leonardo da Vinci-Fiumicino Airport
Saint Petersburg,Russia,LED,ULLI,Pulkovo International Airport
San Francisco,United States,SFO,KSFO,San Francisco International Airport
Sanya,People's Republic of China,SYX,ZJSY,Sanya Phoenix International Airport
Sapporo,Japan,CTS,RJCC,New Chitose Airport
Sendai,Japan,SDJ,RJSS,Sendai Airport
Seoul,Korea,GMP,RKSS,Gimpo International Airport
Seoul,Korea,ICN,RKSI,Incheon International Airport
Shanghai,People's Republic of China,SHA,ZSSS,Shanghai Hongqiao International Airport
Shanghai,People's Republic of China,PVG,ZSPD,Shanghai Pudong International Airport
Shantou,People's Republic of China,SWA,ZGOW,Jieyang Chaoshan Airport
Sharjah,United Arab Emirates,SHJ,OMSJ,Sharjah International Airport
Shenyang,People's Republic of China,SHE,ZYTX,Shenyang Taoxian International Airport
Shenzhen,People's Republic of China,SZX,ZGSC,Shenzhen Bao'an International Airport
Shigatse,People's Republic of China,RKZ,ZURK,Shigatse Peace Airport
Shiquanhe,People's Republic of China,NGQ,ZUAL,Ngari Gunsa Airport
Shizuoka,Japan,FSZ,RJNS,Shizuoka Airport
Siem Reap,Cambodia,REP,VDSR,Siem Reap International Airport
Singapore,Singapore,SIN,WSSS,Singapore Changi Airport
Stockholm,Sweden,ARN,ESSA,Arlanda Airport
Sydney,Australia,SYD,YSSY,Sydney Airport
Taichung,Taiwan,RMQ,RCMQ,Taichung Airport
Taipei,Taiwan,TSA,RCSS,Taipei Songshan Airport
Taipei,Taiwan,TPE,RCTP,Taipei Taoyuan International Airport
Taiyuan,People's Republic of China,TYN,ZBYN,Taiyuan Wusu Airport
Taizhou,People's Republic of China,HYN,ZSLQ,Taizhou Luqiao Airport
Tianjin,People's Republic of China,TSN,ZBTJ,Binhai International Airport
Tonghua,People's Republic of China,TNH,ZYTN,Tonghua Sanyuanpu Airport
Tongliao,People's Republic of China,TGO,ZBTL,Tongliao Airport
Tokyo,Japan,HND,RJTT,Haneda Airport
Tokyo,Japan,NRT,RJAA,Narita International Airport
Toronto,Canada,YYZ,CYYZ,Toronto Pearson International Airport
Ulan Bator,Mongolia,ULN,ZMUB,Chinggis Khaan International Airport
Ulanhot,People's Republic of China,HLH,ZBUL,Ulanhot Airport
Urumqi,People's Republic of China,URC,ZWWW,Urumqi Diwopu International Airport
Vancouver,Canada,YVR,CYVR,Vancouver International Airport
Vienna,Austria,VIE,LOWW,Vienna International Airport
Wanzhou,People's Republic of China,WXN,ZUWX,Wanzhou Wuqiao Airport
"Washington, D.C.",United States,IAD,KIAD,Washington Dulles International Airport
Weihai,People's Republic of China,WEH,ZSWH,Weihai Dashuibo Airport
Wenzhou,People's Republic of China,WNZ,ZSWZ,Wenzhou Yongqiang Airport
Wuhai,People's Republic of China,WUA,ZBUH,Wuhai Airport
Wuhan,People's Republic of China,WUH,ZHHH,Tianhe International Airport
Wuxi,People's Republic of China,WUX,ZSWX,Wuxi Shuofang Airport
Xiamen,People's Republic of China,XMN,ZSAM,Xiamen Gaoqi International Airport
Xiangyang,People's Republic of China,XFN,ZHXF,Xiangyang Liuji Airport
Xi'an,People's Republic of China,XIY,ZLXY,Xianyang International Airport
Xichang,People's Republic of China,XIC,ZUXC,Xichang Qingshan Airport
Xilinhot,People's Republic of China,XIL,ZBXH,Xilinhot Airport
Xining,People's Republic of China,XNN,ZLXN,Xining Caojiabu Airport
Xuzhou,People's Republic of China,XUZ,ZSXZ,Xuzhou Airport
Yancheng,People's Republic of China,YNZ,ZSYN,Yancheng Nanyang Airport
Yangon,Myanmar,RGN,VYYY,Yangon International Airport
Yangzhou,People's Republic of China,YTY,ZSYA,Yangzhou Taizhou Airport
Yanji,People's Republic of China,YNJ,ZYYJ,Yanji Chaoyangchuan Airport
Yantai,People's Republic of China,YNT,ZSYT,Yantai Laishan International Airport
Yekaterinburg,Russia,SVX,USSS,Koltsovo International Airport
Yibin,People's Republic of China,YBP,ZUYB,Yibin Caiba Airport
Yichang,People's Republic of China,YIH,ZHYC,Yichang Airport
Yinchuan,People's Republic of China,INC,ZLIC,Yinchuan Hedong Airport
Yiwu,People's Republic of China,YIW,ZSYW,Yiwu Airport
Yuncheng,People's Republic of China,YCU,ZBYC,Yuncheng Guangong Airport
Zhangjiajie,People's Republic of China,DYG,ZGDY,Zhangjiajie Airport
Zhanjiang,People's Republic of China,ZHA,ZGZJ,Zhanjiang Airport
Zhengzhou,People's Republic of China,CGO,ZHCC,Zhengzhou Xinzheng International Airport
Zhuhai,People's Republic of China,ZUH,ZGSD,Zhuhai Jinwan Airport
Zunyi,People's Republic of China,ZYI,ZUZY,Zunyi Xinzhou Airport
